Satelite operando,Órbita,Bandas,Status do Satélite,Pos. Orbital,Direito,Operadora Comercial
IS-11  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ku (AP30B),operação comercial,43-1ºO,Estrangeiro,INTELSAT LICENSE LLC
IS-11  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ku (AP30B),operação comercial,43-1ºO,Estrangeiro,INTELSAT LICENSE LLC
IS-11  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ku (AP30B),operação comercial,43-1ºO,Estrangeiro,INTELSAT LICENSE LLC
IS-11  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ku (AP30B),operação comercial,43-1ºO,Estrangeiro,INTELSAT LICENSE LLC
IS-11  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- Ku (AP30B),operação comercial,43-1ºO,Estrangeiro,INTELSAT LICENSE LLC
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-6  ,Satélite Geoestacionário (GEO),C (não planejada)- C (AP30B)- Ku (não planejada),operação comercial,40-5ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
ABS-3A  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,3ºO,Estrangeiro,ABS GLOBAL- LTD
ABS-3A  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,3ºO,Estrangeiro,ABS GLOBAL- LTD
ABS-3A  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,3ºO,Estrangeiro,ABS GLOBAL- LTD
ABS-3A  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,3ºO,Estrangeiro,ABS GLOBAL- LTD
EUTELSAT 3B  ,Satélite Geoestacionário (GEO),C (não planejada),operação comercial,3ºL,Estrangeiro,EUTELSAT S/A
HISPASAT 36W-1  ,Satélite Geoestacionário (GEO),Ku (não planejada),operação comercial,36ºO,Estrangeiro,HISPASAT S.A.
IS-35e  ,Satélite Geoestacionário (GEO),C (não planejada),operação comercial,34-5ºO,Estrangeiro,INTELSAT LICENSE LLC
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
HISPASAT 30W-6  ,Satélite Geoestacionário (GEO),Ku (não planejada)- C (AP30B)- Ku (AP30B),operação comercial,30ºO,Estrangeiro,HISPASAT S.A.
IS 907  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 907  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 907  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 907  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 905  ,Satélite Geoestacionário (GEO),C (não planejada),operação comercial,24-5ºO,Estrangeiro,INTELSAT LICENSE LLC
SES-4  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,22ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-4  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,22ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-4  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,22ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
SES-4  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,22ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
NSS7  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,20ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
NSS7  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,20ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
NSS7  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,20ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
NSS7  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,20ºO,Estrangeiro,NEW SKIES SATELLITES B.V.
IS-37e  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,18ºO,Estrangeiro,INTELSAT LICENSE LLC
IS-37e  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,18ºO,Estrangeiro,INTELSAT LICENSE LLC
IS-37e  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,18ºO,Estrangeiro,INTELSAT LICENSE LLC
IS-37e  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,18ºO,Estrangeiro,INTELSAT LICENSE LLC
Telstar 12V  ,Satélite Geoestacionário (GEO),Ku (não planejada),operação comercial,15ºO,Estrangeiro,SKYNET SATELLITE CORPORATION
Inmarsat 3 AOR East  ,Satélite Geoestacionário (GEO),L,operação comercial,15-5ºO,Estrangeiro,INMARSAT SOLUTIONS (CANADA) INC.
Inmarsat 3 AOR East  ,Satélite Geoestacionário (GEO),L,operação comercial,15-5ºO,Estrangeiro,TELECOM ITÁLIA S.p.A.
Inmarsat 3 AOR East  ,Satélite Geoestacionário (GEO),L,operação comercial,15-5ºO,Estrangeiro,MARLINK SAS
Inmarsat 3 AOR East  ,Satélite Geoestacionário (GEO),L,operação comercial,15-5ºO,Estrangeiro,MORSVIAZSPUTNIK
EXPRESS AM8  ,Satélite Geoestacionário (GEO),C (não planejada),operação comercial,14ºO,Estrangeiro,RUSSIAN SATELLITE COMMUNICATIONS COMPANY (RSCC)
EUTELSAT 12 WEST B  ,Satélite Geoestacionário (GEO),Ku (não planejada),operação comercial,12-5ºO,Estrangeiro,EUTELSAT S/A
EUTELSAT 113 WEST A  ,Satélite Geoestacionário (GEO),C (não planejada),operação comercial,113ºO,Estrangeiro,SATELITES MEXICANOS S.A DE C.V
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK G1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada)- X,operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK F1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK F1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK F1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
ANIK F1  ,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,107-3ºO,Estrangeiro,TELESAT CANADA
IS 10-02  ,Satélite Geoestacionário (GEO),C (não planejada),operação comercial,1ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 901,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 901,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 901,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
IS 901,Satélite Geoestacionário (GEO),C (não planejada)- Ku (não planejada),operação comercial,27-5ºO,Estrangeiro,INTELSAT LICENSE LLC
